Name,Former City,New City,Year 1,Year 2
Louie Dampier,Cincinatti,Louisville,1967,1968
Donnie Freeman,Philadelphia,Minneapolis,1967,1968
Donnie Freeman,San Antonio,Los Angeles,1975,1976
Pau Gasol,Los Angeles,Chicago,2014,2015
Pau Gasol,Chicago,San Antonio,2016,2017
Pau Gasol,San Antonio,Milwaukee,2019,2020
Pau Gasol,Milwaukee,Portland,2019,2020
Gus Johnson,Phoenix,Indianapolis,1972,1973
Bernard King,New York City,Washington DC,1987,1988
Jim Pollard,Chicago,Minneapolis,1948,1949
Roger Brown,Indianapolis,Memphis,1974,1975
DeMar DeRozan,San Antonio,Chicago,2021,2022
Marques Johnson,Los Angeles,Oakland,1989,1990
Jimmy Jones,Baltimore,New Orleans,1967,1968
Jimmy Jones,New Orleans,Salt Lake City,1971,1972
Jimmy Jones,Salt Lake City,Washington DC,1974,1975
Larry Jones,Philadelphia,Denver,1967,1968
DeAndre Jordan,Los Angeles,Dallas,2018,2019
DeAndre Jordan,New York City,Brooklyn,2019,2020
DeAndre Jordan,Detroit,Los Angeles,2021,2022
DeAndre Jordan,Los Angeles,Philadelphia,2022,2023
DeAndre Jordan,Philadelphia,Denver,2022,2023
Shawn Kemp,Portland,Orlando,2002,2003
Jermaine O'Neal,Miami,Boston,2010,2011
Jermaine O'Neal,Phoenix,Oakland,2013,2014
John Beasley,Baltimore,Dallas,1967,1968
Zelmo Beaty,Los Angeles,Oakland,1974,1975
Carl Braun,New York City,Boston,1961,1962
Derrick Coleman,Philadelphia,Charlotte,1999,2000
DeMarcus Cousins,New Orleans,Oakland,2018,2019
DeMarcus Cousins,Oakland,Los Angeles,2019,2020
DeMarcus Cousins,Los Angeles,Houston,2020,2021
DeMarcus Cousins,Los Angeles,Milwaukee,2021,2022
Terry Cummings,San Antonio,Milwaukee,1995,1996
Terry Cummings,Milwaukee,Seattle,1997,1998
Terry Cummings,Seattle,Philadelphia,1997,1998
Walter Davis,Phoenix,Denver,1988,1989
Walter Davis,Portland,Denver,1991,1992
Harry Gallatin,Baltimore,New York City,1948,1949
Marc Gasol,Toronto,Los Angeles,2020,2021
Cliff Hagan,St. Louis,Dallas,1967,1968
Kevin Love,Cleveland,Miami,2023,2024
Stephon Marbury,New York City,Boston,2009,2010
Alonzo Mourning,Miami,East Rutherford,2003,2004
Swen Nater,Milwaukee,Norfolk,1973,1974
Julius Randle,Los Angeles,New Orleans,2018,2019
Julius Randle,New Orleans,New York City,2019,2020
Glen Rice,Salt Lake City,Los Angeles,2003,2004
Red Robbins,Philadelphia,New Orleans,1967,1968
Paul Seymour,Baltimore,Syracuse,1947,1948
James Silas,Houston,Dallas,1972,1973
Deron Williams,Brooklyn,Dallas,2015,2016
Gus Williams,Oakland,Seattle,1977,1978
Gus Williams,Washington DC,Atlanta,1987,1988
Willie Wise,San Francisco,Los Angeles,1969,1970
Mel Daniels,Memphis,Uniondale,1976,1977
Connie Hawkins,Minneapolis,Phoenix,1969,1970
Spencer Haywood,Buffalo,Seattle,1970,1971
George McGinnis,Indianapolis,Philadelphia,1975,1976
Derrick Rose,New York City,Cleveland,2017,2018
Derrick Rose,Minneapolis,Detroit,2019,2020
Derrick Rose,New York City,Memphis,2023,2024
Chauncey Billups,Orlando,Minneapolis,2000,2001
Chauncey Billups,Minneapolis,Detroit,2002,2003
Chauncey Billups,New York City,Los Angeles,2011,2012
Chauncey Billups,Los Angeles,Detroit,2013,2014
Andre Iguodala,Denver,Oakland,2013,2014
Andre Iguodala,Memphis,Miami,2020,2021
Andre Iguodala,Miami,San Francisco,2021,2022
Tony Parker,San Antonio,Charlotte,2018,2019
Dikembe Mutombo,Denver,Atlanta,1996,1997
Dikembe Mutombo,East Rutherford,New York City,2003,2004
Dwight Howard,Los Angeles,Houston,2013,2014
Dwight Howard,Houston,Atlanta,2016,2017
Dwight Howard,Brooklyn,Washington DC,2018,2019
Dwight Howard,Memphis,Los Angeles,2019,2020
Dwight Howard,Los Angeles,Philadelphia,2020,2021
Ray Allen,Boston,Miami,2012,2013
Carmelo Anthony,Denver,New York City,2011,2012
Carmelo Anthony,Portland,Los Angeles,2021,2022
Billy Cunningham,Philadelphia,Greensboro,1972,1973
Billy Cunningham,Greensboro,Philadelphia,1974,1975
Clyde Drexler,Portland,Houston,1995,1996
Julius Erving,Norfolk,Uniondale,1973,1974
Patrick Ewing,Seattle,Orlando,2001,2002
Kevin Garnett,Minneapolis,Boston,2007,2008
Kevin Garnett,Brooklyn,Minneapolis,2015,2016
Elvin Hayes,Washington DC,Houston,1981,1982
Allen Iverson,Detroit,Memphis,2009,2010
Jason Kidd,East Rutherford,Dallas,2008,2009
Jason Kidd,Dallas,New York City,2012,2013
Moses Malone,Washington DC,Atlanta,1988,1989
Moses Malone,Atlanta,Milwaukee,1991,1992
Moses Malone,Milwaukee,Philadelphia,1993,1994
Bob McAdoo,East Rutherford,Detroit,1981,1982
Bob McAdoo,Los Angeles,Philadelphia,1985,1986
Steve Nash,Dallas,Phoenix,2004,2005
Steve Nash,Phoenix,Los Angeles,2012,2013
Gary Payton,Milwaukee,Los Angeles,2003,2004
Gary Payton,Atlanta,Boston,2005,2006
Gary Payton,Boston,Miami,2005,2006
Paul Pierce,Brooklyn,Washington DC,2014,2015
Paul Pierce,Washington DC,Los Angeles,2015,2016
Scottie Pippen,Chicago,Houston,1999,2000
Scottie Pippen,Portland,Chicago,2003,2004
Dwyane Wade,Miami,Chicago,2016,2017
Dwyane Wade,Chicago,Cleveland,2017,2018
Dwyane Wade,Cleveland,Miami,2018,2019
Russell Westbrook,Washington DC,Los Angeles,2021,2022
Russell Westbrook,Salt Lake City,Los Angeles,2023,2024
Dominique Wilkins,Los Angeles,Boston,1994,1995
